pk,main_category,sub_category,name,sku,price,description,image,rating
1,2,[9],After Sport Protein Bar 1X40 G - Chocolate/Caramel,025001,1.49,"Our team of enthusiasts designed this bar to give you protein after a physical effort in order to help recovery.A bar with high protein and carbohydrate content, for use within 30 minutes after exercise. Ideally consume together with a recovery drink.",after-sport-protein-bar-1x40-g-chocolatecaramel.jpg,2.0
2,2,[9],Basic Protein Bar - Chocolate,025002,1.49,Our product team created this protein bar for a snack after a workout or at any time of day. Sold singly.Slip the bar in your bag and always have a protein snack to hand!Ideal when trying to boost your muscle mass. Add extra protein to your daily diet.,basic-protein-bar-chocolate.jpg,3.0
3,2,[9],Flapjack Choco&Hazelnut 80G,025003,1.49,The Flapjack was developed by our passionate weight training team to help you reach your goals. Sold individuallyThe Sci-MX Flapjack is a high protein flapjack with 21g of protein per bar.,flapjack-choco-and-hazelnut-80g.jpg,0.9
4,2,[9],Cookie Strawberry 75G,025004,1.69,"If youâ€™re looking for a sizable healthy snack to fit into a busy lifestyle or a foodie conscious about clean eating, then why not choose our Cookie!A large sweet treat to support gym gains & keep hunger at bay. Available in 2 delicious flavours with a â€˜guilt freeâ€™ factor our cookies contain 23g of protein.",cookie-strawberry-75g.jpg,4.7
5,3,[7],500 Slim-Fit V-Neck Pilates & Gentle Gym T-Shirt - Light Grey,035005,1.99,"Our designers have developed this T-shirt for gentle gym & pilates activities. It is intended for moderate-intensity exercise.Choose the slim-fit gentle gym & pilates T-shirt for its close-fitting cut and soft, breathable, stretchy fabric. This V-neck T-shirt is a must for your training sessions.",500-slim-fit-v-neck-pilates-and-gentle-gym-t-shirt-light-grey.jpg,1.7
6,2,[9],Active Oats+ Choc + Hazelnut 60G,025006,1.99,"Active Oats+ is a natural plant-based breakfast to kickstart your day.it's an instant Overnight Oats (just add cold milk) and comes in three flavours (Raspberry Nut Crunch, Choc + Hazelnut, Apple, Blueberry + Pecan). These taste amazing!",active-oats-choc-hazelnut-60g.jpg,4.0
7,2,[9],Active Oats+ Low Sugar 60G,025007,1.99,"Active Oats+ is a natural plant-based breakfast to kickstart your day.it's an instant Overnight Oats (just add cold milk) and comes in three flavours (Raspberry Nut Crunch, Choc + Hazelnut, Apple, Blueberry + Pecan). These taste amazing!",active-oats-low-sugar-60g.jpg,3.6
8,2,[9],Active Oats+ Raspberry Nut Crunch 60G,025008,1.99,"Active Oats+ is a natural plant-based breakfast to kickstart your day.it's an instant Overnight Oats (just add cold milk) and comes in three flavours (Raspberry Nut Crunch, Choc + Hazelnut, Apple, Blueberry + Pecan). These taste amazing!",active-oats-raspberry-nut-crunch-60g.jpg,2.9
9,2,[9],Adonis Keto Protein Bars Hazelnut & Cocoa,025009,1.99,"Ideal snack bar for the office or university, as a snack after workout and fitness or to lose weight. Simply the best keto food.Adonis Keto Protein Bars | Hazelnut & Cocoa Snack Bars | 100% Natural Nut Snacks, Low Carb, High in Protein, Vegan, Low Sugar",adonis-keto-protein-bars-hazelnut-and-cocoa.jpg,4.9
10,2,[9],Adonis Keto Protein Bars Peanut Butter,025010,1.99,"Ideal snack bar for the office or university, as a snack after workout and fitness or to lose weight. Simply the best keto food.Adonis Keto Protein Bars | Peanut Butter & Chocolate Snack Bars | 100% Natural Nut Snacks, Low Carb, High in Protein, Vegan, Low Sugar",adonis-keto-protein-bars-peanut-butter.jpg,0.4
11,2,[9],Cereal Bar 6 X 21 G - Plain,025011,1.99,"Our team of enthusiasts created this enjoyable cereal bar to provide energy during running or cycling training sessions lasting less than 3 hours.Looking for a high-quality cereal bar for sports? Before, during and after your training sessions, treat yourself to a bar without palm oil to replenish your energy reserves.",cereal-bar-6-x-21-g-plain.jpg,4.5
12,2,[9],Crunchy Peanut Butter Protein Bar,025012,1.99,"Made with premium whole ingredients, this is a protein bar that, well, doesn't taste like a protein bar.Smooth peanut butter. Crunchy whole peanuts. Taste and nutrition packed into one perfect bar that delivers a good source of protein - it's a snack-lover's dream come true.",crunchy-peanut-butter-protein-bar.jpg,3.7
13,2,[9],Crunchy Recovery Bar 55 G - Banana And Caramel,025013,1.99,Our team of passionate triathletes created this bar to help you recover after intense and/or prolonged exertion.Have you just done a big training session? This yummy bar provides what you need to recover faster and refuel for your next session,crunchy-recovery-bar-55-g-banana-and-caramel.jpg,3.2
14,2,[9],Double Dark Chocolate Nut Protein Bar,025014,1.99,"Made with premium whole ingredients, this is a protein bar that, well, doesn't taste like a protein bar.Double...Darkâ€¦Chocolateâ€¦Nut...the name says it all. Made with rich dark chocolate and crunchy whole nuts, this bar's also a good source of protein - what's not to love?",double-dark-chocolate-nut-protein-bar.jpg,2.7
15,2,[9],Gooey Coconut&Milk Choc 60G,025015,1.99,"Anyone whoâ€™s looking to top up their protein intake. Those who lead a busy lifestyle and want to snack happy away from high sugar products.Delicious fusions of flavor coat every ounce of our high protein, low sugar bars. Perfect for those who refuse to compromise on taste, we know youâ€™ll find it hard to stop at just one.",gooey-coconut-and-milk-choc-60g.jpg,3.4
